# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/data/GRCh38.p13_reference_files/gencode.v43.primary_assembly.annotation.gtf" "-o" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/s2_count_data.txt" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam" "-F" "GTF" "--largestOverlap" "-p" "--countReadPairs" "-s" "2" "-B" "-C" "-T" "64" "-t" "gene" "-g" "gene_name" "--Rpath" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/" "--tmpDir" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/scripts/temp" "--verbose" 
Geneid	Chr	Start	End	Strand	Length	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam
RNY3P5	chr13	60789560	60789661	+	102	0	0	0	0	0	0	0	0	0
LINC01442	chr13	60916981	60945955	+	28975	0	0	0	0	0	0	0	0	0
MIR3169	chr13	61199798	61199880	-	83	0	0	0	0	0	0	0	0	0
PCDH20	chr13	61409685	61415849	-	6165	2	0	0	1	3	4	1	2	0
ENSG00000197991	chr13	61409858	61427849	-	17992	0	0	0	0	0	0	0	0	0
LINC02339	chr13	61424689	61427946	-	3258	0	0	0	0	0	0	0	0	0
RAC1P8	chr13	61805150	61805676	+	527	0	0	0	0	0	0	0	0	0
ENSG00000270856	chr13	61927090	61927272	-	183	0	0	0	0	0	0	0	0	0
LINC00358	chr13	61997136	62029572	-	32437	0	0	0	0	0	0	0	0	0
LINC01075	chr13	62212577	62249947	+	37371	0	0	0	0	0	0	0	0	0
LINC01074	chr13	62321305	62322398	+	1094	0	0	0	0	0	0	0	0	0
LINC00459	chr13	62323657	62328833	+	5177	0	0	0	0	0	0	0	0	0
RPL32P28	chr13	62327988	62328384	+	397	0	0	0	0	0	0	0	0	0
ENSG00000276586	chr13	62397645	62397916	+	272	0	0	0	0	0	0	0	0	0
SQSTM1P1	chr13	62406058	62406916	-	859	0	0	0	0	0	0	0	0	0
ENSG00000286469	chr13	62539351	62574905	-	35555	0	0	0	0	0	0	0	0	0
LINC00448	chr13	62672285	62796714	-	124430	0	0	0	0	0	0	0	0	0
ENSG00000273550	chr13	63034668	63097797	+	63130	0	0	0	0	0	0	0	0	0
LINC00376	chr13	63183096	63328129	-	145034	0	0	0	0	0	0	0	0	0
ENSG00000287996	chr13	63397011	63513393	+	116383	0	0	0	0	0	0	0	0	0
LINC00395	chr13	63667681	63738018	-	70338	0	0	0	0	0	0	0	0	0
ENSG00000290963	chr13	63737511	63742569	+	5059	0	0	0	0	0	0	0	0	0
ENSG00000285764	chr13	63738111	63751083	+	12973	0	0	0	0	0	0	0	0	0
OR7E156P	chr13	63742341	63742804	+	464	0	0	0	0	0	0	0	0	0
ENSG00000237378	chr13	63746741	63751080	+	4340	0	0	0	0	0	0	0	0	0
RNU6-81P	chr13	63783801	63783904	+	104	0	0	0	0	0	0	0	0	0
PPP1R2P10	chr13	63811014	63811608	-	595	0	0	0	0	0	0	0	0	0
ENSG00000287128	chr13	63814653	63825534	+	10882	0	0	0	0	0	0	0	0	0
ENSG00000290964	chr13	63828840	63844125	-	15286	0	0	0	0	0	0	0	0	0
ENSG00000285566	chr13	63832361	63833053	-	693	0	0	0	0	0	0	0	0	0
OR7E104P	chr13	63836994	63837456	-	463	0	0	0	0	0	0	0	0	0
LINC00355	chr13	63851197	64076044	-	224848	0	0	0	1	0	0	0	0	0
NFYAP1	chr13	63975451	63976422	-	972	0	0	0	0	0	0	0	0	0
LGMNP1	chr13	64958097	64959396	-	1300	0	0	0	0	1	2	0	0	0
STARP1	chr13	65309855	65310953	-	1099	0	0	0	0	0	0	0	0	0
HNRNPA3P5	chr13	65787932	65788764	-	833	42	39	42	44	55	55	32	47	42
LINC01052	chr13	65866070	65922731	+	56662	0	0	0	0	0	0	0	0	0
ENSG00000286395	chr13	65941073	65973699	+	32627	0	0	0	0	0	0	1	0	0
MIR548X2	chr13	65966330	65966429	-	100	0	0	0	0	0	0	0	0	0
MIR4704	chr13	66218250	66218324	+	75	0	0	0	0	0	0	0	0	0
TRIM60P19	chr13	66268997	66270458	+	1462	0	0	0	0	0	0	0	0	0
PCDH9	chr13	66302834	67230445	-	927612	76	36	24	28	42	36	27	66	26
PCDH9-AS1	chr13	66303871	66323561	+	19691	0	0	1	0	0	0	0	0	0
RNU7-87P	chr13	66630715	66630776	-	62	0	0	0	0	0	0	0	0	0
PCDH9-AS2	chr13	66825169	66915031	+	89863	0	0	0	0	0	0	0	0	0
PCDH9-AS3	chr13	66977432	66985776	+	8345	0	0	0	0	0	0	0	0	0
PCDH9-AS4	chr13	66990886	67002007	+	11122	0	0	0	0	0	0	0	0	0
ENSG00000285588	chr13	67121081	67156624	+	35544	0	0	0	0	0	0	0	0	0
RPSAP53	chr13	67266845	67267706	-	862	0	0	0	0	0	0	0	0	0
LINC00364	chr13	67326177	67379994	+	53818	0	0	0	0	0	0	0	0	0
ENSG00000287876	chr13	67577624	67787804	-	210181	0	0	0	0	0	0	0	0	0
BCRP9	chr13	67790407	67790794	+	388	0	1	0	0	0	1	0	1	0
NPM1P22	chr13	67831876	67832827	-	952	0	0	0	0	0	0	0	0	0
OR7E111P	chr13	67902208	67903221	+	1014	0	0	0	0	0	0	0	0	0
OR7E33P	chr13	67910986	67911951	+	966	0	0	0	0	0	0	0	0	0
ENSG00000286820	chr13	68025839	68037131	+	11293	0	0	0	0	0	0	0	0	0
ELL2P3	chr13	68289679	68291280	-	1602	0	0	0	0	0	0	0	0	0
HNRNPA1P18	chr13	68301605	68303302	-	1698	0	0	0	0	0	0	0	0	0
RPL37P21	chr13	68331338	68331613	-	276	0	0	0	0	0	0	0	0	0
RPS3AP52	chr13	68634190	68634486	+	297	0	0	0	0	0	0	0	0	0
RPL12P34	chr13	68654572	68655050	+	479	0	0	0	0	0	0	0	0	0
RN7SL761P	chr13	68693804	68694081	-	278	0	0	0	0	0	0	0	0	0
LINC00550	chr13	68861284	68885325	-	24042	0	0	0	0	0	0	0	0	0
LINC02342	chr13	68878380	68893573	+	15194	0	0	0	0	0	0	0	0	0
ZDHHC20P4	chr13	68985058	68986064	+	1007	0	0	0	1	0	2	0	0	0
SNRPFP3	chr13	69101832	69102056	-	225	0	0	0	0	0	0	0	0	0
LINC00383	chr13	69221866	69322190	+	100325	0	0	1	1	0	0	0	0	0
SRSF1P1	chr13	69408216	69408735	-	520	0	0	0	0	0	0	0	0	0
KLHL1	chr13	69700594	70108493	-	407900	0	0	1	0	0	2	0	0	0
RNY3P10	chr13	69802940	69803041	+	102	0	0	0	0	0	0	0	0	0
PSMC1P13	chr13	69894101	69895085	-	985	0	0	0	0	0	0	0	0	0
ATXN8OS	chr13	70107213	70171738	+	64526	0	0	0	0	0	0	0	0	0
ENSG00000288330	chr13	70137831	70139431	-	1601	0	0	0	0	0	0	0	0	0
RNU6-54P	chr13	70459464	70459570	+	107	0	0	0	0	0	0	0	0	0
ENSG00000276841	chr13	70564267	70564437	-	171	0	0	0	0	0	0	0	0	0
MTCL1P1	chr13	70923664	70924455	+	792	0	0	0	0	0	0	0	0	0
LINC00348	chr13	71015042	71168417	+	153376	5	1	0	2	0	0	0	1	1
RABEPKP1	chr13	71296210	71297235	+	1026	0	0	0	0	0	0	0	0	0
DACH1	chr13	71437966	71867204	-	429239	115	157	65	36	43	163	43	161	21
H3P36	chr13	71675067	71675469	+	403	2	0	3	1	1	1	7	4	4
RPL21P109	chr13	71704181	71704655	+	475	0	0	0	0	0	0	0	0	0
RPL35AP31	chr13	71845981	71846317	+	337	0	0	0	0	0	0	0	0	0
RPS10P21	chr13	71913704	71914178	-	475	0	0	0	0	0	0	0	0	0
ENSG00000212377	chr13	72453902	72453967	-	66	0	0	0	0	0	0	0	0	0
RPL18AP17	chr13	72460132	72460329	-	198	0	0	0	0	0	0	0	0	0
ENSG00000251715	chr13	72460519	72460601	-	83	0	0	0	0	0	0	0	0	0
ENSG00000278113	chr13	72567213	72567380	+	168	0	0	0	0	0	0	0	0	0
ENSG00000199282	chr13	72586680	72586810	+	131	0	0	0	0	0	0	0	0	0
RPL21P110	chr13	72703693	72704138	+	446	0	0	0	0	0	0	0	0	0
RNU6-80P	chr13	72706017	72706123	-	107	0	0	0	0	0	0	0	0	0
MZT1	chr13	72708367	72727629	-	19263	1608	1626	1496	1500	1573	1490	1680	1563	1629
BORA	chr13	72727749	72756198	+	28450	905	888	879	823	877	880	792	853	773
DIS3	chr13	72752169	72782096	-	29928	2701	2479	2733	2534	2669	2636	2722	2553	2478
PIBF1	chr13	72782133	73016461	+	234329	354	412	438	376	378	429	435	346	457
RNU6-79P	chr13	72881108	72881214	-	107	0	0	0	0	0	0	0	0	0
PSMD10P3	chr13	73036401	73036848	+	448	0	0	0	0	0	0	0	0	0
KLF5	chr13	73054976	73077541	+	22566	30	19	39	41	34	64	38	41	23
FABP5P1	chr13	73100575	73100985	-	411	5	6	13	12	6	3	7	1	2
RNU6-66P	chr13	73112915	73113018	-	104	0	0	0	0	0	0	0	0	0
RNU4-10P	chr13	73191528	73191667	+	140	0	0	0	0	0	0	0	0	0
RNY1P8	chr13	73227147	73227260	+	114	0	0	0	0	0	0	0	0	0
ENSG00000279754	chr13	73399031	73399205	+	175	0	0	0	0	0	0	0	0	0
MARK2P12	chr13	73407768	73408352	-	585	0	0	0	0	0	0	0	0	0
LINC00393	chr13	73413473	73661891	-	248419	1	0	0	0	0	0	0	0	0
LINC00392	chr13	73564244	73588070	+	23827	0	0	0	0	0	0	0	1	0
KLF12	chr13	73686089	74134404	-	448316	796	669	706	557	677	710	617	658	657
ENSG00000280348	chr13	73800074	73802203	+	2130	0	0	0	0	0	0	0	0	0
ENSG00000279463	chr13	73844683	73845130	-	448	0	0	0	0	0	0	0	0	0
LINC00402	chr13	74231401	74259976	+	28576	3	2	4	0	3	10	3	2	4
ENSG00000286330	chr13	74288070	74408810	+	120741	8	2	0	1	5	3	0	4	1
RNY1P5	chr13	74289100	74289214	-	115	0	0	0	0	0	0	0	0	0
ENSG00000289644	chr13	74304640	74306050	-	1411	0	0	0	0	0	0	0	0	0
RPL21P108	chr13	74377163	74377951	-	789	0	0	0	0	0	0	0	0	0
ENSG00000177596	chr13	74412957	74419115	-	6159	0	0	0	0	0	0	0	0	0
LINC00381	chr13	74419158	74444735	+	25578	2	0	1	2	0	1	0	0	0
ENSG00000281167	chr13	74434538	74555515	+	120978	0	0	0	0	0	0	1	0	0
LINC00347	chr13	74552503	74565445	+	12943	0	0	0	0	0	0	0	0	0
RIOK3P1	chr13	74828553	74830080	+	1528	0	0	0	0	0	0	0	0	0
RNU6-38P	chr13	75109587	75109693	+	107	0	0	0	0	0	0	0	0	0
SSR1P2	chr13	75136154	75136940	+	787	0	0	0	0	0	0	0	0	0
CTAGE11P	chr13	75237944	75240296	-	2353	0	0	0	0	0	0	0	0	0
LINC01078	chr13	75250480	75252012	+	1533	0	0	0	0	0	0	0	0	0
TBC1D4	chr13	75283503	75482169	-	198667	2240	2203	2293	2217	2261	2214	2595	2196	2379
ENSG00000225203	chr13	75375511	75377294	-	1784	0	0	0	0	0	0	0	0	0
COMMD6	chr13	75525214	75549439	-	24226	1088	994	1023	1010	1073	1092	1096	1110	1097
UCHL3	chr13	75549480	75606020	+	56541	71	89	56	88	82	97	90	82	95
ENSG00000261553	chr13	75549773	75807120	+	257348	16	22	16	17	18	23	23	11	14
LMO7-AS1	chr13	75604700	75635994	-	31295	2	3	1	6	1	3	11	2	6
LMO7	chr13	75620434	75859870	+	239437	327	295	316	295	318	288	294	229	282
ENSG00000228444	chr13	75631271	75632135	+	865	0	0	0	0	0	0	0	0	0
FAM204CP	chr13	75688556	75689197	-	642	0	0	0	0	0	0	0	0	0
LMO7DN	chr13	75871038	75883811	+	12774	0	0	0	0	0	0	0	3	0
LMO7DN-IT1	chr13	75876886	75881127	+	4242	0	0	0	0	0	0	0	0	0
LINC00561	chr13	75932395	75935132	-	2738	0	0	0	0	0	0	0	0	0
LINC01034	chr13	76013023	76014501	-	1479	0	0	0	0	0	0	0	0	0
RN7SL571P	chr13	76134931	76135225	+	295	0	0	0	0	0	0	0	0	0
ENSG00000285572	chr13	76552807	76846524	-	293718	0	0	0	2	0	2	1	2	0
ENSG00000287018	chr13	76664144	76693051	+	28908	0	0	0	0	0	0	0	0	0
ENSG00000284809	chr13	76833839	76846594	+	12756	0	0	0	0	0	0	0	0	0
KCTD12	chr13	76880175	76886405	-	6231	886	849	936	904	810	868	900	832	761
ENSG00000278727	chr13	76887551	76891135	+	3585	2	2	7	2	5	7	4	1	3
BTF3P11	chr13	76928066	76928836	+	771	0	0	0	0	0	0	0	0	0
ACOD1	chr13	76948511	76958638	+	10128	0	0	0	0	0	0	0	0	0
RPL7P44	chr13	76981175	76981916	-	742	2	1	3	1	0	2	2	2	6
DHX9P1	chr13	76984868	76987943	+	3076	1	1	1	0	0	2	2	3	2
CLN5	chr13	76990660	77019143	+	28484	1	1	9	2	0	9	4	1	3
ENSG00000283208	chr13	76992078	77129589	+	137512	5	1	0	0	0	0	3	1	1
FBXL3	chr13	76992598	77027195	-	34598	762	678	650	650	646	695	646	672	616
MYCBP2-AS1	chr13	77026767	77129717	+	102951	0	0	0	0	0	0	0	0	0
ENSG00000274898	chr13	77027944	77028482	+	539	0	0	0	0	0	0	0	0	0
MYCBP2	chr13	77042474	77327094	-	284621	1296	1313	1404	1303	1387	1460	1516	1341	1460
MYCBP2-AS2	chr13	77080511	77081190	-	680	0	0	0	0	0	0	0	0	0
ENSG00000288716	chr13	77326905	77326988	-	84	0	0	0	0	0	0	0	0	0
ENSG00000285714	chr13	77417821	77422847	+	5027	0	0	0	0	0	0	0	0	0
SCEL	chr13	77535674	77645263	+	109590	0	0	0	0	0	0	0	0	0
ENSG00000287270	chr13	77569175	77586812	-	17638	0	0	0	0	0	0	0	0	0
SCEL-AS1	chr13	77599755	77606551	-	6797	0	0	0	0	0	0	0	0	0
RNY3P7	chr13	77623372	77623472	+	101	0	0	0	0	0	0	0	0	0
SPTLC1P5	chr13	77659413	77659664	+	252	0	0	0	0	0	0	0	0	0
ENSG00000285746	chr13	77661376	77662626	-	1251	0	0	0	0	0	0	0	0	0
SLAIN1	chr13	77697687	77764242	+	66556	1082	952	1035	1040	986	954	1093	1061	979
MIR3665	chr13	77698012	77698116	-	105	0	0	0	0	0	0	0	0	0
EDNRB-AS1	chr13	77779723	77844145	+	64423	4	5	9	6	9	13	11	2	6
EDNRB	chr13	77895481	77975529	-	80049	668	882	1174	1017	649	989	1151	629	803
OBI1-AS1	chr13	77919689	78617328	+	697640	10	25	16	14	13	32	23	21	21
ENSG00000233379	chr13	77939016	77975539	-	36524	0	0	0	0	0	0	0	0	0
RN7SL810P	chr13	77947497	77947772	-	276	0	0	0	0	0	0	0	0	0
LINC01069	chr13	77979817	77997881	-	18065	0	0	0	0	0	0	0	0	0
LINC00446	chr13	77997909	78053604	+	55696	0	0	0	0	0	0	0	0	0
ENSG00000235625	chr13	78275720	78277514	-	1795	0	0	0	0	0	0	0	0	0
SRGNP1	chr13	78285838	78286288	+	451	0	0	0	0	0	0	0	0	0
RNY3P3	chr13	78355227	78355328	-	102	0	0	0	0	0	0	0	0	0
RPL31P54	chr13	78422823	78423192	+	370	0	0	0	0	0	0	0	0	0
ELOCP23	chr13	78488182	78488513	+	332	0	0	0	0	0	0	0	0	0
ENSG00000271776	chr13	78596129	78599619	+	3491	0	0	0	0	0	0	0	0	0
POU4F1	chr13	78598362	78603552	-	5191	17	12	5	10	11	12	20	10	2
OBI1	chr13	78614289	78659155	-	44867	972	898	858	774	803	882	697	910	831
RPL21P111	chr13	78761175	78761651	+	477	0	0	0	0	0	0	0	0	0
LINC00331	chr13	78786272	78840051	-	53780	0	0	0	0	0	0	0	0	0
HSPD1P8	chr13	78849231	78851208	+	1978	0	0	0	0	0	0	0	0	0
CCT5P2	chr13	78908919	78910542	+	1624	0	0	1	0	0	0	0	0	0
NIPA2P5	chr13	79090783	79094119	+	3337	0	0	0	0	0	0	0	0	0
BCAS2P3	chr13	79166119	79166885	+	767	0	0	0	0	0	0	0	0	0
RBM26	chr13	79311824	79406477	-	94654	3026	2939	3190	3004	3162	3049	3187	2946	3165
RNA5SP33	chr13	79389534	79389631	-	98	0	0	0	0	0	0	0	0	0
RBM26-AS1	chr13	79406293	79427317	+	21025	114	141	123	111	103	120	124	104	122
NDFIP2-AS1	chr13	79477364	79481231	-	3868	0	0	0	0	0	0	0	0	0
NDFIP2	chr13	79481155	79556077	+	74923	832	830	850	862	962	862	945	859	840
LINC01068	chr13	79566678	79571445	+	4768	5	4	0	1	1	1	6	1	0
ENSG00000285902	chr13	79637433	79667344	+	29912	0	0	0	0	0	0	0	0	0
LINC01038	chr13	79804418	79805685	+	1268	0	0	0	0	0	0	0	0	0
LINC00382	chr13	79872586	79918042	+	45457	1	0	0	0	0	1	0	0	0
ENSG00000284196	chr13	79941531	80074640	-	133110	0	0	0	0	1	0	0	1	0
LINC01080	chr13	80011077	80028283	+	17207	0	0	0	0	0	0	0	0	0
ENSG00000285684	chr13	80115733	80134368	-	18636	0	2	0	0	0	4	0	1	0
SPRY2	chr13	80335976	80341126	-	5151	1639	1710	1723	1600	1433	1706	1445	1625	1363
RNU6-61P	chr13	80369426	80369534	-	109	0	0	0	0	0	0	0	0	0
HNRNPA1P31	chr13	80619098	80620067	-	970	0	0	0	0	0	0	0	0	0
PWWP2AP1	chr13	80654755	80657027	+	2273	0	0	0	0	0	0	0	0	0
ENSG00000286746	chr13	80697177	81017737	-	320561	0	0	0	0	0	0	0	0	0
ARF4P4	chr13	80888348	80888867	+	520	0	0	0	0	0	0	0	0	0
LINC00377	chr13	81018176	81044691	+	26516	0	0	0	0	0	0	0	0	0
DPPA3P3	chr13	81114866	81115295	-	430	0	0	0	0	0	0	0	0	0
LINC00564	chr13	81225865	81226983	-	1119	0	0	0	0	0	0	0	0	0
ENSG00000229309	chr13	81250438	81302407	+	51970	0	0	0	0	0	0	0	0	0
RNU6-77P	chr13	81265747	81265837	+	91	0	0	0	0	0	0	0	0	0
HIGD1AP2	chr13	81272891	81273170	+	280	0	0	0	0	0	0	0	0	0
PTMAP5	chr13	81689911	81691072	+	1162	655	657	684	646	657	678	727	653	692
ENSG00000286385	chr13	82778208	83102335	-	324128	0	0	0	0	0	0	0	0	0
GYG1P2	chr13	82823131	82824136	+	1006	0	0	0	0	0	0	0	0	0
ENSG00000270400	chr13	83145540	83145903	+	364	0	0	0	0	0	0	0	0	0
RNU6-67P	chr13	83298071	83298167	-	97	0	0	0	0	0	0	0	0	0
ENSG00000286446	chr13	83650249	83654789	-	4541	2	0	0	0	0	0	0	0	0
SLITRK1	chr13	83877205	83882474	-	5270	212	179	94	86	57	159	74	213	82
ENSG00000285680	chr13	83877888	83895211	+	17324	2	3	2	4	1	7	1	3	0
VENTXP2	chr13	83907301	83907781	-	481	0	0	0	0	0	0	0	0	0
ENSG00000286284	chr13	83996173	83997597	+	1425	0	0	0	0	0	0	0	0	0
UBE2D3P4	chr13	84020327	84020762	+	436	0	0	0	0	0	0	0	0	0
ENSG00000285742	chr13	84063106	84069408	+	6303	0	0	0	0	0	0	0	0	0
ENSG00000288016	chr13	84086739	84448603	+	361865	0	0	0	0	0	0	0	0	0
MTND4P1	chr13	84520103	84521568	+	1466	0	0	0	0	0	0	0	0	0
MTND5P3	chr13	84521725	84523915	+	2191	0	0	0	0	0	0	0	0	0
LINC00333	chr13	84562364	84563236	+	873	0	0	0	0	0	0	0	0	0
ENSG00000288038	chr13	84867514	84902424	-	34911	0	0	0	0	0	0	0	0	0
ENSG00000287438	chr13	85046001	85050096	-	4096	0	0	0	0	0	0	0	0	0
LINC00375	chr13	85065087	85078920	-	13834	0	0	0	0	0	0	0	0	0
ENSG00000286906	chr13	85144623	85148121	-	3499	0	0	0	0	0	0	0	0	0
LINC00351	chr13	85363601	85544570	+	180970	0	0	0	0	0	0	0	0	0
ENSG00000285834	chr13	85693937	85783203	-	89267	0	0	0	0	0	0	0	0	0
SLITRK6	chr13	85792790	85806683	-	13894	5	2	4	4	2	7	3	2	1
ENSG00000278580	chr13	85837126	85837532	-	407	0	0	0	0	0	0	0	0	0
MOB1AP1	chr13	85968999	85969533	+	535	0	0	0	0	0	0	0	0	0
ENSG00000232252	chr13	86060813	86170890	+	110078	0	0	0	0	0	0	0	0	0
ENSG00000283371	chr13	86266842	86266926	-	85	0	0	0	0	0	0	0	0	0
DDX6P2	chr13	86275493	86277262	+	1770	0	0	0	0	0	0	0	0	0
ENSG00000287880	chr13	86402982	86462734	-	59753	0	0	0	1	0	0	0	0	0
TXNL1P1	chr13	86725500	86726053	+	554	0	0	0	0	0	0	0	0	0
LINC00430	chr13	86909586	86937108	+	27523	0	0	0	0	0	0	0	1	0
UBBP5	chr13	87219004	87219269	+	266	0	0	0	0	0	0	0	0	0
LIN28AP2	chr13	87379472	87380258	-	787	0	0	0	0	0	0	0	0	0
ENSG00000285699	chr13	87423493	87458407	+	34915	0	0	0	0	0	0	0	0	0
ENSG00000232636	chr13	87427200	87447235	-	20036	0	0	0	0	0	0	0	0	0
MIR4500HG	chr13	87427214	87674235	-	247022	1	0	2	0	4	3	4	10	1
ENSG00000272515	chr13	87607907	87609234	-	1328	0	0	0	0	0	0	0	0	0
MIR4500	chr13	87618665	87618740	-	76	0	0	0	0	0	0	0	0	0
SLITRK5	chr13	87671371	87696272	+	24902	427	467	321	372	441	266	527	466	381
ENSG00000277640	chr13	87765752	87765881	-	130	0	0	0	0	0	0	0	0	0
LINC00397	chr13	87801036	87803808	-	2773	0	0	0	0	0	0	0	0	0
ENSG00000272046	chr13	87807634	87811232	-	3599	0	0	0	0	0	0	0	0	0
TET1P1	chr13	87890172	87892472	-	2301	0	0	0	0	0	0	0	0	0
LINC00373	chr13	88142867	88236082	+	93216	0	0	0	0	0	1	0	0	1
RPL29P29	chr13	88236547	88236969	-	423	0	0	0	0	0	0	0	0	0
ENSG00000285811	chr13	88472151	88477267	-	5117	0	0	0	0	0	0	0	0	0
LINC00433	chr13	88494789	88607814	+	113026	0	0	2	0	2	0	0	2	1
ENSG00000286422	chr13	88522185	88569261	-	47077	0	0	0	0	0	0	0	0	0
ENSG00000283130	chr13	88571654	88572312	+	659	0	0	0	0	0	0	0	0	0
LINC00560	chr13	88626853	88630397	+	3545	0	0	0	0	0	0	0	0	0
GRPEL2P1	chr13	88978447	88978785	-	339	0	0	0	0	0	0	0	0	0
ENSG00000288552	chr13	89141800	89163186	-	21387	0	0	0	0	0	0	0	0	0
LINC00440	chr13	89181324	89280240	+	98917	0	0	0	0	0	0	0	0	0
LINC01047	chr13	89214847	89236890	-	22044	0	0	0	0	0	0	0	0	0
TRIM60P13	chr13	89248818	89250100	-	1283	0	0	0	0	0	0	0	0	0
SP3P	chr13	89361160	89363224	-	2065	0	0	0	0	0	0	0	0	0
LINC02336	chr13	89402398	89818453	+	416056	0	0	0	0	0	0	0	0	0
LINC01040	chr13	89477608	89500509	-	22902	0	0	0	0	0	0	0	0	0
LINC00353	chr13	89548691	89553804	-	5114	0	0	0	0	0	0	0	0	0
RPL7L1P1	chr13	89833157	89833941	-	785	0	0	0	0	0	0	0	0	0
ENSG00000200733	chr13	89837170	89837237	+	68	0	0	0	0	0	0	0	0	0
PEX12P1	chr13	89991831	89992878	+	1048	0	0	0	0	0	0	0	0	0
LINC00559	chr13	90060247	90119719	-	59473	0	0	0	0	0	0	0	0	0
RNA5SP34	chr13	90135712	90135841	-	130	0	0	0	0	0	0	0	0	0
FAR1P1	chr13	90170866	90171799	+	934	0	0	0	0	0	0	0	0	0
KRT18P27	chr13	90230384	90231682	+	1299	0	0	0	0	0	2	0	0	0
MIR622	chr13	90231182	90231277	+	96	0	0	0	0	0	0	0	0	0
LINC01049	chr13	90493287	90535080	+	41794	0	0	1	0	0	0	0	0	0
RNU6-75P	chr13	90781766	90781869	-	104	0	0	0	0	0	0	0	0	0
LINC00410	chr13	90890954	90926597	-	35644	0	0	0	0	0	0	0	0	0
BRK1P2	chr13	91023732	91023954	-	223	0	0	0	0	0	0	0	0	0
LINC00380	chr13	91087254	91089593	-	2340	0	0	0	0	0	0	0	0	0
LINC00379	chr13	91127613	91131407	-	3795	0	0	0	0	0	1	0	1	0
PPIAP23	chr13	91272081	91272577	-	497	0	0	0	0	0	0	0	0	0
MIR17HG	chr13	91347820	91354579	+	6760	270	332	324	288	255	201	182	195	207
MIR17	chr13	91350605	91350688	+	84	0	0	0	0	0	0	0	0	0
MIR18A	chr13	91350751	91350821	+	71	0	0	0	0	0	0	0	0	0
MIR19A	chr13	91350891	91350972	+	82	0	0	0	0	0	0	0	0	0
MIR20A	chr13	91351065	91351135	+	71	0	0	0	0	0	0	0	0	0
MIR19B1	chr13	91351192	91351278	+	87	0	0	0	0	0	0	0	0	0
MIR92A1	chr13	91351314	91351391	+	78	0	0	0	0	0	0	0	0	0
GPC5	chr13	91398621	92873682	+	1475062	5	14	11	9	8	10	4	14	22
ENSG00000282864	chr13	91485793	91486870	+	1078	0	0	0	0	0	0	0	0	0
ENSG00000282997	chr13	91994518	91996523	+	2006	0	0	0	0	0	0	0	0	0
RNU4ATAC3P	chr13	92059844	92059969	+	126	0	0	0	0	0	0	0	0	0
FABP5P4	chr13	92180715	92180885	-	171	0	0	0	0	0	0	0	0	0
ENSG00000282865	chr13	92239835	92241951	-	2117	0	0	0	0	0	0	0	0	0
